Id,Sentence,Title,Author
2078,"Death was on the cards that day, but would it be ours or the panthers?.",Vampire Destiny Trilogy,Darren Shan
2079,They say that the statue of Our Lady of the Sorrows wept tears of blood the day the sickness came to Santa Olivia.,Santa Olivia,Jacqueline Carey
2080,"By day, the Nicollet Mall winds through Minneapolis like a paved canal.",War For The Oaks,Emma Bull
2081,You want to know what good is?.,"The Sun, The Moon, And The Stars",Steven Brust
2082,"Lily Proctor was not asleep, she wasn't unconscious or dreaming, nor had she accidentally slipped into another universe.",Witch's Pyre,Joseph Angelini
2083,You are food.,Trollhunters,Guillermo Del Toro And Daniel Kraus
2084,"Sandy Blunt straightened the bottles of the Amazingly Miraculous Manticore's Youthifying Tonic on the shelf, but her thoughts were of creamy skin, large blue eyes, and moist red lips.","Promises, Promises",L-J Baker
2085,Riannon of Gast felt the first pain knifing down her chest as she craned her neck to see the top of the castle keep through the narrow eye slits of her helm.,Lady Knight,L-J Baker
2086,"There was a Master come unto the earth, born in the holy land of Indiana, raised in the mystical hills east of Fort Wayne.",Illusions,Richard Bach
2087,Kaye took another drag on her cigarette and dropped it into her mother's beer bottle.,Tithe,Holly Black
2088,I emerge from the simulation with a yell.,Four,Veronica Roth
2089,"The suburb of Saffron Park lay on the sunset side of London, as red and ragged as a cloud of sunset.",The Man Who Was Thursday,G.K. Chesterton
2090,"These tales concern the doing of things recognized as impossible to do; impossible to believe; and, as the weary reader may well cry aloud, impossible to read about.",Tales Of The Long Bow,G.K. Chesterton
2091,Some years ago there was in the city of York a society of magicians.,Jonathan Strange And Mr Norrell,Susanna Clarke
2092,Where is he?.,"Over Sea, Under Stone",Susan Cooper
2093,"Too many! James shouted, and slammed the door behind him.",The Dark Is Rising,Susan Cooper
2094,Willow Crest Unified School District spared no expense celebrating the retirement of a beloved principle.,An Author's Odyssey,Chris Colfer
2095,"Only one newspaper carried the story in detail, under the headline: Treasures stolen from museum.",Greenwitch,Susan Cooper
2096,"Are you awake, Will?.",The Grey King,Susan Cooper
2097,Katherine sat by the fire and sewed.,Doctor Who: The Many Hands,Dale Smith
2098,"Will said, turning a page, ""He liked woad. "".",Silver On The Tree,Susan Cooper
2099,"This story, esteemed reader, took place in ancient times.",The Nightingale,Kara Dalkey
2100,"When our dragon declared war on Indiana, I knew it was going to be a bad day.",The Dark Prophecy,Rick Riordan
2101,"About a year before the time traveling began, before I lost Wayne and found Lena, Wayne DeMint stumbled into my bar for the first time.",Every Anxious Wave,Mo Daviau
2102,Arry opened the door to call the cats.,The Dubious Hills,Pamela Dean
2103,There was a new house next door to Gentian's.,"Juniper, Gentian, And Rosemary",Pamela Dean
2104,"He's gone,' said Petr in a choked whisper.",Doctor Who: Wooden Heart,Martin Day
2105,"Edward Fairchild, Prince of the Enchanted Forest, Lord of the Desert's Edge, Friend to the Unicorns, and King of the Secret Country, wished he were somewhere else.",The Secret Country,Pamela Dean
2106,"Summer swept on faster, as it always did, than you expected.",The Hidden Land,Pamela Dean
2107,"Marley was dead, to begin with.",A Christmas Carol,Charles Dickens
2108,Fifty thousand people had come to the Suffolk Air show on the east coast of England.,Never Say Die,Anthony Horowitz
2109,"In their ruddy jackets of leather that reached to their knees the men of Erl appeared before their lord, the stately white-haired man in his long red room.",The King Of Elfland's Daughter,Lord Dunsany
2110,"It happened just the other day, to a boy named Roger.",Knight's Castle,Edward Eager
2111,"Lesson learned: if you take a Valkyrie out for coffee, you'll get stuck with a check and a dead body.",Magnus Chase And The Hammer Of Thor,Rick Riordan
2112,It was Martha who saw the lake first.,Magic By The Lake,Edward Eager
2113,The house and the garden were waiting.,The Time Garden,Edward Eager
2114,"It was a crisp, sunny October afternoon and Benjamin, Thomas and Melinda Potter were visiting the Bramblewood Zoo.",The Last Of The Really Great Whangdoodles,Julie Edwards
2115,"It begins, as most things begin, with a song.",The Anansi Boys,Neil Gaiman
2116,"At the hour of sunset, on a hot spring day, two citizens appeared in the Patriarch's Ponds Park.",The Master And Margarita,"Mikhail Bulgakov, Translated By Mirra Ginsberg"
2117,I'm going to die tomorrow morning.,The Young Elites,Marie Lu
2118,"There was a hand in the darkness, and it held a knife.",The Graveyard Book,Neil Gaiman
2119,"When I was a little girl, my mother would spend long afternoons telling me old folktales.",The Rose Society,Marie Lu
2120,I have had the same nightmare for the past month.,The Midnight Star,Marie Lu
2121,By God!.,The Strange Affair Of Spring Heeled Jack,Mark Hodder
2122,"Many years ago, when he was ten, her father had ridden a big yellow bus to the planetarium.",The Last Star,Rick Yancey
2123,"There are children whose best friends have two legs, and there are children whose best friends have four, or a thousand, or none at all.",The Beasts Of Clawstone Castle,Eva Ibbotson
2124,"Kit had only recently found out what a flail was, and now there was a rack of them hanging over his head, shiny and sharp and deadly.",Lord Of Shadows,Cassandra Clare
2125,I rise to my feet when he lets me.,King's Cage,Victoria Aveyard
2126,Robert was tired of dreaming.,The Number Devil,Hans Magnus Enzensberger
2127,"The evening before the start of fifth grade, Leon Zeisel was feeling unusually chipper.",Leon And The Champion Chip,Allen Kurzweil
2128,"The night before the start of fourth grade, Leon Zeisel was on pins and needles.",Leon And The Spitting Image,Allen Kurzweil
2129,"At the time I first realized I might be fictional, my weekdays were spent at a publicly funded institution on the north side of Indianapolis called White River High School, where I was required to eat lunch at a particular time - between 12:37 P. M.",Turtles All The Way Down,John Green
2130,Mickey Cray had been out of work ever since a dead iguana fell from a palm tree and hit him on the head.,Chomp,Carl Hiaasen
2131,You do not enter a race to lose.,Wonder Woman: Warbringer,Leigh Bardugo
2132,It was the start of the Summer of the Late Rose.,Redwall,Brian Jacques
2133,Hushflowers always bloomed when the night was longest.,Carve The Mark,Veronica Roth
2134,This one was different.,Victims,Jonathan Kellerman
2135,"I duck into the parking garage, hoping to escape.",The Spellman Files,Lisa Lutz
2136,"I dreamt that I heard Mr Punch laughing gleefully by my ear, but when I woke I realised it was my phone.",The Hanging Tree,Ben Aaronovitch
2137,She felt his breath.,Shiver,Lisa Jackson
2138,The night was rank with the smell of man.,A Dance With Dragons Book Five Of A Song Of Ice And Fire,George R. R. Martin
2139,I was just passing the Hoover Centre when I head Mr Punch scream his rage behind me.,Foxglove Summer,Ben Aaronovitch
2140,"At twenty-three minutes past eleven Robert Weil drove his 53 registered Volvo V70 across the bridge that links Pease Pottage, the improbably named English village, with Pease Pottage, the motorway service station.",Broken Homes,Ben Aaronovitch
2142,Back in the summer I'd made the mistake of telling my mum what I did for a living.,Whispers Underground,Ben Aaronovitch
2143,"The first outcry of the morning was lost in a Manhattan mix of distant sirens, barking dogs and loud music from a car rolling by outside the park.",The Chalk Girl,Carol O'Connell
2144,The bells of St. Mark's were ringing changes up the mountain when Bud skated over to the mod parlor to upgrade his skull gun.,The Diamond Age,Neal Stephenson
2145,"Fayina, who's got the schedule for the electrical classes?.",For The Good Of The Cause,Alexander Solzhenitsyn
2146,"The house was named ""The Cave"".",The Ragged Trousered Philanthropists,Robert Treesell
2147,It was Napoleon who had such a passion for chicken that he kept his chefs working around the clock.,The Passion,Jeanette Winterson
2148,"We ascended towards the light, five floors up, and split up into thirteen rows facing the god who unlocks the gate of morning.",Borderliners,Peter Hoeg
2149,"Darkness, like the darkness after birth, darkness all around.",Rat,Andrzej Zaniewski
2150,"Describe, using diagrams where appropriate, the exact circumstances leading to your death.",Red Dwarf,Grant Naylor
2151,When I was quite small i would sometime dream of a city - which was strange because it began before i even knew what a city was.,The Chrysalids,John Wyndham
2152,The sea is full of saints.,Kraken,China Mieville
2153,"IN THE Lenin Barracks in Barcelona, the day before I joined the militia, I saw an Italian militiaman standing in front of the officers’ table.",Homage To Catalonia,George Orwell
2154,In the late summer of that year we lived in a house in a village that looked across the river and the plain to the mountains.,A Farewell To Arms,Ernest Hemingway
2155,"My name is Odd Thomas, though in this age when fame is the altarat which most people worship, I'm not sure why you should care who I am or that I exist.",Odd Thomas,Dean Koontz
2156,"Waking, I heard a warm wind strumming the loose screen at the open window, and I thought Stormy, but it was not.",Forever Odd,Dean Koontz
2157,"Embraced by stone, steeped in silence, I sat in the high window as the third day of the week surrendered to the fourth.",Brother Odd,Dean Koontz
2158,It's only life; we all get through it.,Odd Hours,Dean Koontz
2159,"Near the sunset of my second full day as a guest in Roseland, crossing the immense land between the main house and the eucalyptus grove, I halted and pivoted, warned by instinct.",Odd Apocolypse,Dean Koontz
2160,"Before dawn, I woke in darkness to the ringing of a little bell, the thimble-size bell that I wore on a chain around my neck: three bursts of silvery sound, a brief silence after each.",Deeply Odd,Dean Koontz
2161,"Alone in the vastness of the Mohave, at two o'clock in the morning, racing along at seventy miles per hour, I felt safe and believed that any terror might await me was many miles ahead.",Saint Odd,Dean Koontz
2162,"Lyra and her daemon moved through the darkening hall, taking care to keep to one side, out of sight of the kitchen.",The Golden Compass,Phillip Pullman
2164,“So now get up. ”.,Wolf Hall,Hilary Mantel
2165,"The night Effia Otcher was born into the musky heat of Fanteland, a fire raged through the woods just outside her father’s compound.",Homegoing,Yaa Gyasi
2166,I had my recurring dream last night.,Parable Of The Sower,Octavia Butler
2168,"William, the Conqueror of England, was, or supposed himself to be, the father of a certain William Peveril, who attended him to the battle of Hastings, and there distinguished himself.",Peveril Of The Peak,Sir Walter Scott
2169,The course of four centuries has wellnigh elapsed since the series of events which are related in the following chapters took place on the Continent.,Anne Of Geierstein,Sir Walter Scott
2170,"He - for there could be no doubt about his sex, though the fashion of the time did something to disguise it - was in the act of slicing at the head of a Moor which swung from the rafters.",Orlando,Virginia Woolf
2171,Strange not to know you're alive or even that you're about to die.,The Saffron Kitchen,Yasmin Crowther
2172,"The First Time Caesar approached Cora about running north, she said no.",Underground Railroad,Colson Whitehead
2173,Isma was going to miss her flight.,Home Fire,Kamila Shamsie
2174,"In that pleasant district of merry England which is watered by the river Don, there extended in ancient times a large forest, covering the greater part of the beautiful hills and valleys which lie between Sheffield and the pleasant town of Doncaster.",Ivanhoe,Sir Walter Scott
2175,The latter part of the fifteenth century prepared a train of future events that ended by raising France to that state of formidable power which has ever since been from time to time the principal object of jealousy to the other European nations.,Quentin Durward,Sir Walter Scott
2177,"In the latter days of July in the year 185-, a most important question was for ten days hourly asked in the cathedral city of Barchester, and answered every hour in various ways--Who was to be the new Bishop?.",Barchester Towers,Anthony Trollope
2179,"When young Mark Robarts was leaving college, his father might well declare that all men began to say all good things to him, and to extol his fortune in that he had a son blessed with so excellent a disposition.",Framley Parsonage,Anthony Trollope
2180,"Whether or no, she, whom you are to forgive, if you can, did or did not belong to the Upper Ten Thousand of this our English world, I am not prepared to say with any strength of affirmation.",Can You Forgive Her,Anthony Trollope
2181,"Wonder whether the novel-reading world--that part of it, at least, which may honour my pages-will be offended if I lay the plot of this story in Ireland!.",Castle Richmond,Anthony Trollope
2182,"The Drenai herald waited nervously outside the great doors of the throne room, flanked by two Nadir guards who stared ahead, slanted eyes fixed on the bronze eagle emblazoned on the dark wood.",Legend,David Gemmell
2183,"In the days of the first Phoenix King, Aenarion the Defender founded the realm of Nagarythe in the harsh north of Ulthuan.",Shadow King,Gav Thorpe
2184,None knew at the time that the greatest saviour of the elvss would also be their doom.,Malekith,Gav Thorpe
2185,"During the darkest years of Ulthuan, the two greatest elves to have lived were at the forefront of the war against the daemons of Chaos.",Caledor,Gav Thorpe
2186,The smell of old death was heavy in the air.,Curse Of The Necrach,Steven Savile
2187,"The air was filled with swirling grey dust, whipped up into a storm by a wind that shrieked across the hard black granite of the tower.",Kill Team,Gav Thorpe
2188,Monday morning and there's one less donut than there should be.,Company,Max Barry
2189,The chamber hummed and vibrated with energy that coursed along the thick cables snaking across the low ceiling.,13Th Legion,Gav Thorpe
2190,I always get the shakes before a drop.,Starship Troopers,Robert A. Heinlein
2191,"Despite the darkness, the pressure on every centimeter of skin, and the smooth, flat plastic in front of her nose, Adda Karpe was NOT locked in a coffin in deep space.",Barbary Station,R. E. Stearns
2192,"The Orcs came down out of the World's Edge Mountains into Ostermark like a green tide, sweeping villages and towns before them in a cascade of flame and pillage.",Knight Of The Blazing Sun,Josh Reynolds
2193,"Darkness clung to the corroding bulkheads, thick and heavy with menace.",Space Hulk: The Novel,Gav Thorpe
2194,"Robert Gladstone approached the ancient lead coffin that occupied the centre of his wine cellar, the night’s sacrifice clutched to his chest and the straight razor heavy in his plump hand.",The Whitechapel Demon,Josh Reynolds
2195,The door had been kicked in.,Face Or Kneecaps,Simon Howers
2196,The ride's a little bumpy on the famous Road of Skulls.,The State Of The Art,Iain M. Banks
2197,"Tell me, what is happiness?.",Use Of Weapons,Iain M. Banks
2198,They're all dead now.,Fall On Your Knees,Ann-Marie Macdonald
2199,Few in the town agreed on when the battle began.,Of Bees And Mist,Erick Setiawan
2200,I'm going to die.,Nemesis,Jo Nesbo
2201,"It was a blindingly sunny morning in May, and Joe Molinari was out for a walk with Martha, his smart and funny dog, and Julie, his adorable nine-month-old baby girl.",14Th Deadly Sin,James Patterson
2202,"Two hours before dawn I sat in the peeling kitchen and smoked one of Sarah's cigarettes, listening to the maelstrom and waiting.",Altered Carbon,Richard Morgan
2203,"Ironically, since the attacks, the sunsets have been glorious.",Angelfall,Susan Ee
2204,"It's ten to two in the afternoon and I've been waiting for my little sister, Vivi, to arrive since one thirty. Finally, she's coming home.",The Behaviour Of Moths,Poppy Adams
2205,The ship didn't even have a name.,Consider Phlebas,Iain M. Banks
2206,The pain is everywhere.,Dead Men's Bones,James Oswald
2207,With its two fighting claws held forward like a wrestler's arms the big pandinus scorpion emerged with a dry rustle from the finger-sized hole under the rock.,Diamonds Are Forever,Ian Fleming
2208,"Alone on the timeless beach, Joséphine Pellegrini finds herself disappointed by the end of the world.",The Causal Angel,Hannu Rajaniemi
2209,Bones rubbed softly together within tattered scraps of armour as the skeletal sentries shifted aside their spears.,Neferata,Josh Reynolds
2210,"At certain moments in life, reflection is mandatory.",The Conduit,Stacey Rourke
2211,"The pungent smell of smouldering warpstone wafted through the blankened chamber, the corrupt fume slithering into every nook and cranny, oozing between the crumbling bricks, burning inti beams of oak and ash, discolouring glass and tarnishing bronze.",Dead Winter,C.L. Werner
2212,Gunther Soreson had never been so scared in his life.,Dead Men Walking,Steve Lyons
2213,Swooping whorls of colour lit the night sky with their vibrant shades.,Valkia The Bloody,Sarah Cawkwell
2214,"Marx has completely changed the way I view the world', declared the Pallières boy this morning, although ordinarily he says nary a word to me.",The Elegance Of The Hedgehog,Murial Barberry
2215,"Once there were four children whose names were Peter, Susan, Edmund and Lucy.","The Lion, The Witch And The Wardrobe",C.S. Lewis
2216,This one might be trouble.,Surface Detail,Iain M. Banks
2217,When he was nearly thirteen my brother Jem got his arm badly broken at the elbow.,To Kill A Mockingbird,Harper Lee
2218,Clarity. That would have been good.,Stonemouth,Iain M. Banks
2219,"The prophet and the murderess stood on the battlements of the dead citadel, weapons in their hands.",Void Stalker,Aaron Dembski-Bowden
2220,"A little more than one hundred days into the fortieth year of her confinement, Dajeil Gelian was visited in her lonely ship that was her home.",Excession,Iain M. Banks
2221,"When shall we three meet again? In thunder, lightning, or in rain?.",Macbeth,William Shakespeare
2222,"The wintry sky was blemished by black stains that whirled and circled high overhead, their ugly squawks raining down upon the ears of the men below.",Wulfrik,C.L. Werner
2223,"Sophie Le Patourel was reading aloud to her two daughters from the Book of Ruth, as they lay upon their backboards digesting their dinners and improving their deportment.",Green Dolphin Street,Elizabeth Goudge
2225,"Keith, the boy in rumpled shorts and shirt, did not know he was being watched as he entered room 215 of the Mountain View Inn.",The Mouse And The Motorcycle,Beverly Cleary
2226,All around the buildings burned.,Space Wolf,William King
2228,The trees were laced with snow and the forest lay waiting below him like a reluctant bride.,The King Beyond The Gate,David Gemmell
2230,"The house was on Dresden Avenue in the Oal Knoll section of Pasadena, a big solid cool-looking house with burgundy brick walls, a terra-cotta tile roof, and a white stone trim.",The High Window,Raymond Chandler
2231,Only five remained.,Silver Skulls: Portents,Sarah Cawkwell
2232,"It was a curse, to be a god's son.",Soul Hunter,Aaron Dembski-Bowden
2233,The warrior turned his helm over in his hands.,Blood Reaver,Aaron Dembski-Bowden
2234,The old man was dying an ugly death and for all their skill and faith there was nothing either the chirugeon or the priest could do to prevent it.,Inheritance,Steven Savile
2235,It was desperate.,Dominion,Steven Savile
2236,The man cast a terrified glance over his shoulder as he ran.,Retribution,Steven Savile
2237,"Jack Reacher ordered espresso, double, no peel, no cube, foam cup, no china, and before it arrived at his table he saw a man's life change forever.",The Hard Way,Lee Child
2238,People say that knowledge is power.,The Visitor,Lee Child
2239,"You spilled my beer,' Gotrek Gurnisson said.",Daemonslayer,William King
2240,"Someone is looking for you, Captain.",Farseer,William King
2241,As serious as a heart attack.,The Enemy,Lee Child
2242,London hacked up its lungs and glistened.,A Serpent Uncoiled,Simon Spurrier
2243,"There were three watchers, two men and a boy.",Echo Burning.,Lee Child
2244,I was arrested at Eno's diner.,Killing Floor,Lee Child
2245,"He rolled onto his front, coughing blood between broken teeth.",Scars,Chris Wraight
2246,A thousand years might pass and it would never losr its fascination.,The Path Of Heaven.,Chris Wraight
2247,"Long, low strips of silver fog filled the green hollows and ravines of the Blue Ridge Mountains.",Catch As Cat Cat,Rita Mae Brown
2249,At first there was silence.,Cadian Blood,Aaron Dembski-Bowden
2250,"I was lost, it was dusk, I had been driving for hours and was practically out of petrol.",Ice,Anna Kavan
2251,The eyewitness said he didn't actuall see it happen.,A Wanted Man.,Lee Child
2252,"Once, I got lost.",Ways Of Going Home,Alejandro Zambra
2253,The world was dead.,The Return Of Nagash,Josh Reynolds
2254,"Claude Gueux was a poor workman, living in Paris about eight years ago, with his mistress and child.",Claude Gueux,Victor Hugo
2255,It was a way of daring fate.,Racing The Devil,Charles Todd
2256,"My God, Mae thought. It's heaven.",The Circle,Dave Eggers
2257,"It is almost pleasant, at first, to be falling.",The House Of Shartered Wings,Aliette De Bodard
2258,"Three hundred and forty-eight years, six months, and nineteen days ago to-day, the Parisians awoke to the sound of all the bells in the triple circuit of the city, the university, and the town ringing a full peal.",The Hunchback Of Notre Dame,Victor Hugo
2259,Guilty.,Silks,Dick Francis& Felix Francis
2260,You'd think it wouldn't bother me now.,The Burning Girl,Claire Messud
2261,The Nurthene uttered some of the usual gibberish before he died.,Legion,Dan Abnett
2262,"It’s a rock, Holmes.",Dreaming Spies,Laurie King
2263,"Bobbi and I first met Melissa at a poetry night in town, where we were performing together.",Conversations With Friends,Sally Rooney
2264,Tell me about a complicated man.,The Odyssey,Homer (Tr. Emily Wilson)
2265,They gathered at the car park in the hour before dawn and waited to be told what to do.,Reservoir 13,Jon Mcgregor
2266,I move.,The Lesser Bohemians,Eimear Mcbride
2267,"That summer I would ride my bike over the bridge, lock it up in front of one of the bars on Orchard Street and drift through the city on foot, recording.",White Tears,Hari Kunzru
2268,We live ans die for Huron Blackheart!'.,Tyrant Of The Hollow Worlds,Mark Clapham
2269,"Perhaps if you spent more time studying the xenos and less time burning them, Inquisitor Malchankov, you would be better equipped to understand the import of my meaning, sir,' Interrogator Raimus Klute heard his master suggest.",Atlas Infernal,Rob Sanders
2270,The man was called Calvin Franz and the Helicopter was a bell 222.,Bad Luck And Trouble.,Lee Child
2271,"Colossus, this is orbital command.",The Emperor Expects,Gav Thorpe
2272,Tsu'gan screamed as he plummeted from the stone parapet towards the temple floor below.,Salamander,Nick Kyme
2273,"The twisted, baying creatures came on in a great mass, howling and screaming at the darkening sky.",Grudge Bearer,Gav Thorpe
2274,The deafening silence of carnage after the fact.,The Legion Of The Damned,Rob Sanders
2275,It was a bright cold day in April and the clocks were striking thirteen.,Nineteen Eighty-Four,George Orwell
2276,There were four of us.,Three Men In A Boat,Jerome K Jerome
2277,"This sort of guy, the way he jangles his keys, you just know he's sexually frustrated.",Contract,Simon Spurrier
2278,I stood up.,"They Shoot Horses, Don'T They?",Horace Mccoy
2279,"I will try to be your eyes, Jorge.",Borges And The Eternal Orangutans,Luis Fernando Verissimo
2280,One afternoon - it must have been about March 10th - I was having tea at the Café Central on the Egyetem-tér in Budapest.,A Journey Round My Skull,Frigyes Karinthy
2281,"To the red country and part of the gray country of Oklahoma, the last rains came gently, and they did not cut the scarred earth.",The Grapes Of Wrath,John Steinbeck
2282,"The town is dark, night lies upon it, the moon roams over other regions and the stars have closed their golden eyes.",The Apostle,Sándor Petőfi
2283,My name is Jake.,Animorphs #1: The Invasion,K.A. Applegate
2284,"Once again I am driving southwest on the great Tokaido Road that runs between Tokyo, the present capital of Japan, and Kyoto, the ancient capital.",Japanese Inn,Oliver Statler
2285,Duncan MacKenzie was ten years old when he found the magic number.,Imperial Earth,Arthur C. Clarke
2287,The way Mama could peel apples!.,The Moffats,Eleanor Estes
2288,"Robert, he said, ""thank you for coming on time. "".",A Part Of The Sky,Robert Newton Peck
2289,I am old now and have not much to fear from the anger of gods.,Till We Have Faces,C.S. Lewis
2290,"As I walk'd through the wilderness of this world, I lighted on a certain place where was a Den, and I laid me down in that place to sleep; and as I slept, I dreamed a Dream.",The Pilgrim's Progress,John Bunyan
2291,"Little man, would you come on? You keep it up and you're gonna make us late.","Roll Of Thunder, Hear My Cry",Mildred D. Taylor
2292,That Sam-I-am!.,Green Eggs And Ham,Dr. Seuss
2293,"I was born in the year 1632, in the city of York, of a good family, though not of that country, my father being a foreigner, of Bremen, who settled first at Hull.",Robinson Crusoe,Daniel Defoe
2294,"Death below, the unknown above.",Angel Exterminatus,Graham Mcneill
2295,A ominous feeling came over Jonathan as he took the shortcut to school.,Shell (Nanowrimo),Marina Wöltche
2296,Serenity entered the mind and hearts of Mantillio Galt.,Death Of Integrity,Guy Haley
2297,"The sigmarite runeblade gleamed in the soft glow of infinity, as it etched complex patterns upon the air.",Plague Garden,Josh Reynolds
2298,"It happened to be a rather large room but for the amout of people that were inside, it was still too small.",Mr. Cold's Case (Nanowrimo),Marina Wöltche
2299,The beautifully crafted casket was made from dark wood with painted ornaments but the most interesting part about it was the engraved symbol from the Baron.,Casket Notes (Nanowrimo),Marina Wöltche
2300,The reader must begin this book with an act of faith and end it with an act of charity.,Giles Goat-Boy,John Barth
2301,I've seen Steelheart bleed.,Steelheart,Brandon Sanderson
2302,"This is Ares Launch Control, Jacqueline B. Kennedy Space Center.",Voyage,Stephen Baxter
2303,"Eventually they put Reacher in a car and drove him to a motel a mile away, where the night clerk gave him a room, which had all the features Reacher expected, because he had seen such rooms a thousand times before.",Never Go Back,Lee Child
2304,Matt Carse knew he was being followed almost as soon as he left Madam Kan's.,The Sword Of Rhiannon,Leigh Brackett
2305,"Alicia was irked, not exactly a rare event.",Cosm,Gregory Benford
2306,The stench of chlorine was in the air.,Battle Royale Demon Ver. (Nanowrimo),Marina Wöltche
2308,About two miles outside of Centerburg where route 56 meets route 56A there lives a boy named Homer.,Homer Price,Robert Mccloskey
2309,So.,Beowulf,Translated By Seamus Heaney
2312,"Five o'clock of a fine summer's morning,' chanted the night-watchman.",No Bed For Bacon,Caryl Brahms & S. J. Simon
2313,"Across the night the Ring of Yan arched like a silver bow, shedding the small bright fire-arrows of meteors into the upper air.",The Dramaturges Of Yan,John Brunner
2314,"You needn't think I'm crazy, Eliot - plenty of others have queerer prejudices than this.",Pickman's Model,H.P. Lovecraft
2315,Mrs.,Anne Of Green Gables,L.M. Montgomery
2316,"The oldest and strongest emotion of mankind is fear, and the oldest and strongest kind of fear is fear of the unknown.",Heritage Of Horror,H.P. Lovecraft
2317,"There is nothing more absurd, as I view it, than that conventional association of the homely and the wholesome which seems to pervade the psychology of the multitude.",In The Vault,H.P. Lovecraft
2318,When Randolph Carter was thirty he lost the key of the gate of dreams.,The Silver Key,H.P. Lovecraft
2319,"Christmas won't be Christmas without any presents, grumbled Jo, lying on the rug.",Little Women,Louisa May Alcott
2320,"I have examined maps of the city with the greatest care, yet have never again found the Rue d'Auseil.",The Music Of Erich Zann,H.P. Lovecraft
2321,"There is a similarity, if I may be permitted an excursion into tenuous metaphor, between the feel of a chilly breeze and the feel of a knife's blade, as either is laid across the back of the neck.",Jhereg,Steven Brust
2322,"Kragar says that life is like an onion, but he doesn't mean the same thing by it that I do.",Yendi,Steven Brust
2323,When a traveller in north central Massachusetts takes the wrong fork at the junction of the Aylesbury pike just beyond Dean's Corners he comes upon a lonely and curious country.,The Dunwich Horror,H.P. Lovecraft
2324,Bear in mind closely that I did not see any actual visual horror at the end.,The Whisperer In The Darkness,H.P. Lovecraft
2325,"This is the city: Adrilankha, Whitecrest.",Teckla,Steven Brust
2326,"It was a pleasant summer morning, so Frances took her bat and her ball, and some chocolate sandwich cookies and went outside.",Best Friends For Frances,Russell Hoban
2327,The sun did not shine.,The Cat In The Hat,Dr. Seuss
2328,"West of Arkham the hills rise wild, and there are valleys with deep woods that no axe has ever cut.",The Colour Out Of Space,H.P. Lovecraft
2329,"I never really knew Father very well till we moved to the ranch on the Fort Logan - Morrison road, not far from Denver.",Little Britches,Ralph Moody
2330,"Cautious investigators will hesitate to challenge the common belief that Robert Blake was killed by lightning, or by some profound nervous shock derived from an electrical discharge.",The Haunter Of The Dark,H.P. Lovecraft
2331,"The Cycle: Dragon, dzur, and chreotha; athyra, hawk, and phoenix; teckla and jhereg.",Taltos,Steven Brust
2332,"It is true that I have sent six bullets through the head of my best friend, and yet I hope to show by this statement that I am not his murderer.",The Thing On The Doorstep,H.P. Lovecraft
2333,"On Mondays, Wednesdays and Fridays it was Court Hand and Summulae Logicales, while the rest of the week it was the Organon, Repetition and Astrology.",The Once And Future King,T.H. White
2334,During the winter of 1927-28 officials of the Federal government made a strange and secret investigation of certain conditions in the ancient Massachusetts report of Innsmouth.,The Shadow Over Innsmouth,H.P. Lovecraft
2335,Whether the dreams brought on the fever or the fever brought on the dreams Walter Gilman did not know.,The Dreams In The With-House,H.P. Lovecraft
2337,I jumped out of bed that morning with one question in my mind - sun or fog?.,The Hiding Place,Corrie Ten Boom
2338,Captain First Rank Marko Ramius of the Soviet Navy was dressed for the Arctic conditions normal to the Northern Fleet submarine base at Polyarnyy.,The Hunt For Red October,Tom Clancy
2339,"After twenty two years of nightmare and terror, saved only by a desperate conviction of the mythical source of certain impressions, I am unwilling to vouch for the truth of that which I think I found in Western Australia on the night of July 17-18, 1935.",The Shadow Out Of Time,H.P. Lovecraft
2340,"If, by the grace of God, I should live three years longer, I will be one hundred years old.",All Sail Set,Armstrong Sperry
2341,"Woman, girl, man, and boy sat together, like good companions, around a fire in the woods.",Athyra,Steven Brust
2342,"One thing was certain, that the white kitten had had nothing to do with it - it was the black kitten's fault entirely.",Through The Looking-Glass,Lewis Carroll
2343,"It was around the hub of the evening on the planet of Porlumma when Captain Pausert, commercial traveler from the Republic of Nikkeldepain, met the first of the witches of Karres.",The Witches Of Karres,James H. Schmitz
2344,"Vlad knew almost at once that I was in disguise, because I told him so.",Orca,Steven Brust
2346,Not long after I moved with my family to a small town in New Hampshire I happened upon a path that vanished into a wood on the edge of town.,A Walk In The Woods,Bill Bryson
2347,"Anything that happens, happens.",Mostly Harmless,Douglas Adams
2348,"No shit, there I was.",Dragon,Steven Brust
2349,"Everything starts somewhere, although many physicists disagree.",Hogfather,Terry Pratchett
2350,"Aujourd'hui, maman est morte.",L'Etranger,Albert Camus
2351,"The rain poured down on London so hard that it seemed it was dancing spray, every raindrop contending with its fellows for supremacy in the air and waiting to splash down.",Dodger,Terry Pratchett
2352,"It is hard to understand nothing, but the multiverse is full of it.",Raising Steam,Terry Pratchett
2354,The goblin experience of the world is the cult or perhaps religion of Unggue.,Snuff,Terry Pratchett
2355,I like to imagine there were more of us in the beginning.,The Bone Season,Samantha Shannon
2356,"It was born in the darkness of the Circle Sea; at first just a soft, floating thing, washed back and forth by tide after tide.",The Shepherd's Crown,Terry Pratchett
2357,"Against the stars a turtle passes, carrying four elephants on its shell.",The Last Continent,Terry Pratchett
